weekday,departure_time,direction
Monday,08:05,from_university
Monday,08:10,from_university
Monday,08:20,from_university
Monday,08:30,from_university
Monday,08:40,from_university
Monday,08:50,from_university
Monday,09:05,from_university
Monday,09:15,from_university
Monday,09:30,from_university
Monday,09:45,from_university
Monday,10:05,from_university
Monday,10:15,from_university
Monday,10:25,from_university
Monday,10:35,from_university
Monday,10:45,from_university
Monday,11:05,from_university
Monday,11:25,from_university
Monday,11:45,from_university
Monday,12:05,from_university
Monday,12:20,from_university
Monday,12:32,from_university
Monday,12:35,from_university
Monday,12:47,from_university
Monday,12:50,from_university
Monday,13:05,from_university
Monday,13:20,from_university
Monday,13:50,from_university
Monday,14:05,from_university
Monday,14:20,from_university
Monday,14:35,from_university
Monday,14:50,from_university
Monday,14:55,from_university
Monday,15:05,from_university
Monday,15:10,from_university
Monday,15:30,from_university
Monday,15:50,from_university
Monday,16:10,from_university
Monday,16:30,from_university
Monday,16:35,from_university
Monday,16:40,from_university
Monday,16:45,from_university
Monday,16:55,from_university
Monday,17:05,from_university
Monday,17:20,from_university
Monday,17:40,from_university
Monday,18:00,from_university
Monday,18:10,from_university
Monday,18:20,from_university
Monday,18:25,from_university
Monday,18:35,from_university
Monday,18:40,from_university
Monday,18:55,from_university
Monday,19:10,from_university
Monday,19:30,from_university
Monday,19:50,from_university
Monday,20:00,from_university
Monday,20:10,from_university
Monday,20:30,from_university
Tuesday,08:05,from_university
Tuesday,08:10,from_university
Tuesday,08:20,from_university
Tuesday,08:30,from_university
Tuesday,08:40,from_university
Tuesday,08:50,from_university
Tuesday,09:05,from_university
Tuesday,09:15,from_university
Tuesday,09:30,from_university
Tuesday,09:45,from_university
Tuesday,10:05,from_university
Tuesday,10:15,from_university
Tuesday,10:25,from_university
Tuesday,10:35,from_university
Tuesday,10:45,from_university
Tuesday,11:05,from_university
Tuesday,11:25,from_university
Tuesday,11:45,from_university
Tuesday,12:05,from_university
Tuesday,12:20,from_university
Tuesday,12:32,from_university
Tuesday,12:35,from_university
Tuesday,12:47,from_university
Tuesday,12:50,from_university
Tuesday,13:05,from_university
Tuesday,13:20,from_university
Tuesday,13:50,from_university
Tuesday,14:05,from_university
Tuesday,14:20,from_university
Tuesday,14:35,from_university
Tuesday,14:50,from_university
Tuesday,14:55,from_university
Tuesday,15:05,from_university
Tuesday,15:10,from_university
Tuesday,15:30,from_university
Tuesday,15:50,from_university
Tuesday,16:10,from_university
Tuesday,16:30,from_university
Tuesday,16:35,from_university
Tuesday,16:40,from_university
Tuesday,16:45,from_university
Tuesday,16:55,from_university
Tuesday,17:05,from_university
Tuesday,17:20,from_university
Tuesday,17:40,from_university
Tuesday,18:00,from_university
Tuesday,18:10,from_university
Tuesday,18:20,from_university
Tuesday,18:25,from_university
Tuesday,18:35,from_university
Tuesday,18:40,from_university
Tuesday,18:55,from_university
Tuesday,19:10,from_university
Tuesday,19:30,from_university
Tuesday,19:50,from_university
Tuesday,20:00,from_university
Tuesday,20:10,from_university
Tuesday,20:30,from_university
Thursday,08:05,from_university
Thursday,08:10,from_university
Thursday,08:20,from_university
Thursday,08:30,from_university
Thursday,08:40,from_university
Thursday,08:50,from_university
Thursday,09:05,from_university
Thursday,09:15,from_university
Thursday,09:30,from_university
Thursday,09:45,from_university
Thursday,10:05,from_university
Thursday,10:15,from_university
Thursday,10:25,from_university
Thursday,10:35,from_university
Thursday,10:45,from_university
Thursday,11:05,from_university
Thursday,11:25,from_university
Thursday,11:45,from_university
Thursday,12:05,from_university
Thursday,12:20,from_university
Thursday,12:32,from_university
Thursday,12:35,from_university
Thursday,12:47,from_university
Thursday,12:50,from_university
Thursday,13:05,from_university
Thursday,13:20,from_university
Thursday,13:50,from_university
Thursday,14:05,from_university
Thursday,14:20,from_university
Thursday,14:35,from_university
Thursday,14:50,from_university
Thursday,14:55,from_university
Thursday,15:05,from_university
Thursday,15:10,from_university
Thursday,15:30,from_university
Thursday,15:50,from_university
Thursday,16:10,from_university
Thursday,16:30,from_university
Thursday,16:35,from_university
Thursday,16:40,from_university
Thursday,16:45,from_university
Thursday,16:55,from_university
Thursday,17:05,from_university
Thursday,17:20,from_university
Thursday,17:40,from_university
Thursday,18:00,from_university
Thursday,18:10,from_university
Thursday,18:20,from_university
Thursday,18:25,from_university
Thursday,18:35,from_university
Thursday,18:40,from_university
Thursday,18:55,from_university
Thursday,19:10,from_university
Thursday,19:30,from_university
Thursday,19:50,from_university
Thursday,20:00,from_university
Thursday,20:10,from_university
Thursday,20:30,from_university
Friday,08:05,from_university
Friday,08:10,from_university
Friday,08:20,from_university
Friday,08:30,from_university
Friday,08:40,from_university
Friday,08:50,from_university
Friday,09:05,from_university
Friday,09:15,from_university
Friday,09:30,from_university
Friday,09:45,from_university
Friday,10:05,from_university
Friday,10:15,from_university
Friday,10:25,from_university
Friday,10:35,from_university
Friday,10:45,from_university
Friday,11:05,from_university
Friday,11:25,from_university
Friday,11:45,from_university
Friday,12:05,from_university
Friday,12:20,from_university
Friday,12:32,from_university
Friday,12:35,from_university
Friday,12:47,from_university
Friday,12:50,from_university
Friday,13:05,from_university
Friday,13:20,from_university
Friday,13:50,from_university
Friday,14:05,from_university
Friday,14:20,from_university
Friday,14:35,from_university
Friday,14:50,from_university
Friday,14:55,from_university
Friday,15:05,from_university
Friday,15:10,from_university
Friday,15:30,from_university
Friday,15:50,from_university
Friday,16:10,from_university
Friday,16:30,from_university
Friday,16:35,from_university
Friday,16:40,from_university
Friday,16:45,from_university
Friday,16:55,from_university
Friday,17:05,from_university
Friday,17:20,from_university
Friday,17:40,from_university
Friday,18:00,from_university
Friday,18:10,from_university
Friday,18:20,from_university
Friday,18:25,from_university
Friday,18:35,from_university
Friday,18:40,from_university
Friday,18:55,from_university
Friday,19:10,from_university
Friday,19:30,from_university
Friday,19:50,from_university
Friday,20:00,from_university
Friday,20:10,from_university
Friday,20:30,from_university
Wednesday,08:05,from_university
Wednesday,08:10,from_university
Wednesday,08:20,from_university
Wednesday,08:30,from_university
Wednesday,08:40,from_university
Wednesday,08:50,from_university
Wednesday,09:05,from_university
